time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:02:36.616118Z,26012e76,QHYuASaABd4KrwvbErsBzLC54OFoT2duXw==,0000024b0b031c97,1,867900000,12.0,125.0,4/5,-104,-3.2,-1,10,56837,10.0,25,0.0
2020-05-01T00:02:38.416908Z,011da976,QHapHQGAOhJmJrVvwwaKAIbXncOq,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-117,-2.2,-1,10,4666,102.0,21,0.0
2020-05-01T00:02:42.376049Z,20000006,QAYAACCAeJsKMu2X1JbG9iTClhZ0DAJkudDzEwQ=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-107,-4.0,-1,10,39800,10.0,29,0.0
2020-05-01T00:02:43.617858Z,-1,AGNjbm9icmFjiBkE/v9YF6ja/+bn8fk=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-101,5.5,-1,0,-1,-1.0,23,2.0
2020-05-01T00:02:48.365047Z,26012682,QIImASYAKNQBzT7MMTzaYNqGkg==,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-78,9.5,-1,10,54312,1.0,19,0.0
2020-05-01T00:02:53.260967Z,27000251,gFECACeBHDACD06FX7R/GnFOKpx7ZnNU0Olsylg6BqdpEyKUkW0=,0000024b0b031c97,1,867900000,12.0,125.0,4/5,-109,-6.8,-1,100,12316,15.0,38,1.0
2020-05-01T00:02:53.642056Z,26012f47,QEcvASaAxAMCipyaKFMg85Lxbg6ipKm5EfUz46DxraJR2g==,0000024b0b031c97,1,867700000,7.0,125.0,4/5,-103,2.8,-1,10,964,2.0,34,0.0
2020-05-01T00:02:54.907493Z,20000018,QBgAACCAqZoKzKuRGtIif1YXJvexf2aogXw=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-8.5,-1,10,39593,10.0,26,0.0
2020-05-01T00:02:57.685141Z,-1,AGNjbm9icmFjiBkE/v9YF6gnXsyG9bw=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-99,-2.0,-1,0,-1,-1.0,23,2.0
2020-05-01T00:00:10.684930304Z,-1,A5fD+srOFtzZW8ZPPPmRjAlXLvklTU7yN8mSYGJpffIIVT8fUQxqYB1EP4Q1yV6sttshIG2DQfh0KWk38/25ekZunApawOmHaY6TxjMgukxjU5Cb,00800000a0001793,-1,868300000,7.0,125.0,4/7,-108,-11.5,-1,0,-1,-1.0,84,14.0
2020-05-01T00:01:13.799065310Z,-1,bT/w8izx,00800000a0001793,-1,868500000,7.0,125.0,OFF,-109,-9.5,-1,11,-1,-1.0,6,15.0
